City,Population,Population Density,Grouping,Capital Status,Economic Complexity Research (Country),State Capacity (Country),Tax Revenue Decentralisation,GDP
Seattle,-0.5649089227395717,-0.3456215455042878,North,No,1.5367060065404585,0.6562254459085026,2.3571630983886562,4.271652310580133
Seoul,1.7380985862240605,2.436145404526571,North,Yes,-0.7625968066557016,0.7963530283018657,0.8215898523069654,-0.13548585071894922
Helsinki,-0.5803123798764239,-0.4120518010274128,North,Yes,0.6928419117210313,1.3180161073108212,1.3101813396965944,-0.3777495859014719
Turku,-0.7028362151949318,-0.9340679305773747,North,No,0.6928419117210313,1.3180161073108212,1.3101813396965944,-0.3777495859014719
Recife,0.22568383882492654,-0.8384622249934178,South,No,0.3571110352874955,-0.9001618999219396,-0.4347882581235093,-0.056449454843799984
Niteroi,-0.6302800967108607,-0.3101621523534306,South,No,0.3571110352874955,-0.9001618999219396,-0.4347882581235093,-0.056449454843799984
Melbourne,0.5678446566929944,-0.9571838640871108,South,No,1.2554179749339829,1.15291529241171,-0.7837821776875299,-0.13376766819992422
Cape Town,0.48212046051115764,-0.6795682354313486,South,Yes,0.2845205755180825,-0.6988498978894944,-0.6441846098619217,-0.364004125749272
Bogotá,1.1065187361357287,-0.049378514117379084,South,Yes,-0.6228601715995814,-1.0667888568075128,0.053803229266119745,-0.367440490787322
Barcelona,-0.32588508511033193,2.631396493395216,North,No,0.012306351382783345,-1.1186776843472335,-0.6441846098619217,-0.15782222346627398
Tokyo,2.886455492623879,0.3184565831880326,North,Yes,0.039527773796313184,0.5285844797680135,1.5893764753478108,0.29405977903729663
Dalian,1.1763347455311828,-0.996907361477628,South,No,-1.3850599991784192,-0.9330433227211743,2.4967606662142643,2.6273516398732237
Ulaanbaatar,-0.3561387928755114,-1.044934640808536,South,Yes,-1.3759861917072422,-1.023918141005979,0.26319958100453217,-0.4258586964341714
Juneau,-0.7469859312464141,-0.10750498770011345,North,No,1.5367060065404585,0.6562254459085026,2.3571630983886562,4.271652310580133
Toronto,0.05130842926924026,-0.012348135194015493,North,No,1.3280084347033956,0.9822648702890999,-0.22539190638509687,-0.0616040024008749
Rome,0.3414717238540662,0.651729993498305,North,Yes,0.847096638731034,0.18589623371691755,-0.08579433855948847,-0.042703994691600106
Gdansk,-0.6288226801265463,-0.6972979320067773,North,No,-0.2326864503389859,0.05686786577055362,0.33299836491733636,-0.2901222774311977
London,1.5200149370386435,0.5624082310043733,North,Yes,1.4641155467710454,0.5410710960208872,-0.5743858259491175,0.14457789988212305
Bristol,-0.6326844970700776,-0.15239029548600871,North,No,1.4641155467710454,0.5410710960208872,-0.5743858259491175,0.14457789988212305
Cork,-0.6970965032430806,-0.8492346988620326,North,No,1.0104251732122136,0.8629483149838597,-0.9931785294259423,-0.3347950229258473
Nairobi,0.4762125053427963,0.39588373911870195,South,Yes,-0.37786736987781216,-2.03375241943007,-0.9931785294259423,-0.41039505376294655
Bangkok,1.5347563091601384,0.14519929513447688,South,Yes,-0.858779165850174,-1.1203425665142832,-0.5045870420363134,-0.3416677530019472
Munich,-0.37185203528775596,-0.05050064681202647,North,Yes,0.9106132910292706,1.2680696422993256,-0.15559312247229268,0.3370143420129212
Moscow,2.6175043235154165,1.2172848716005853,North,No,-0.7653189488970547,-1.0276641258818413,-0.5743858259491175,-0.08222219262917471
Monterrey,-0.4588625532574563,-0.3278918489288592,North,No,-0.22361264286780927,-1.0096279024054677,-0.9233797455131383,-0.12174039056674933
Nantes,-0.671380436867414,-0.00583976556506068,North,No,0.8380228312598573,0.35377185222777824,0.26319958100453217,0.09131424179234857
Bandung,-0.12155538368325539,2.1529191123975724,South,No,-1.2489528871107693,-0.9888168753173445,-0.7139833937747257,-0.19390405636579863
Bratislava,-0.6312415976200074,-0.8265676184301556,North,Yes,-1.2489528871107693,0.29133877096340866,-0.8535809616003341,-0.4069586887248966
Leiden,-0.6842083988485983,0.16898850826100137,North,No,1.219122745049276,1.1459782833823358,-0.7139833937747257,-0.23685861934142322
Aarhus,-0.6600023736688818,-0.9425961390566948,North,No,0.9015394835580939,1.8174807574257785,0.8215898523069654,-0.36056776071122204
Antwerp,-0.613945728340591,-0.5202253927914204,North,No,0.9469085209139773,1.3762869831575661,-0.5045870420363134,-0.32104956277364743
Kyiv,0.010172314746156408,-0.31689494852131483,North,Yes,-1.4213552290631257,-1.4949410541005013,0.681992284481357,-0.39836777612977164
Istanbul,3.3033901804663786,-0.4423493837828921,North,No,0.08489681115219641,-0.5313904999203961,-0.9233797455131383,-0.2385768018604482
Geneva,-0.7016162574493281,1.791592384721115,North,No,1.0376465956257432,1.2278349899289533,0.40279714883014034,-0.2780949997980228
Gothenburg,-0.598428726475185,-0.8155707180226113,North,No,1.0830156329816267,1.341601938010694,1.2403825557837902,-0.3279222928497474
Ljubljana,-0.6791538437861714,-0.8793078550785824,North,Yes,-0.6954506313689944,0.29133877096340866,0.19340079709172794,-0.4172677838390465
Belgrade,-0.44467723922442726,-0.386691602128382,North,Yes,-0.8497053583789973,-1.199563209629739,-0.7139833937747257,-0.4155496013200215
Porto,-0.6950755107686382,0.1411596174337463,North,No,0.07582300368101977,0.532746685185638,-0.3649894742107051,-0.37946776842049684
Minsk,-0.2378710702359924,0.1647244040213413,North,Yes,-1.8659717951507808,-0.6636098920202723,2.07796796273744,-0.4172677838390465
Budapest,-0.3182672189156208,-0.3983617821527148,North,Yes,-0.12380076068486624,0.18034662649341804,-0.5045870420363134,-0.3932132285726967
Thessaloniki,-0.6724588525541354,2.2355080787236195,North,No,-0.04213649344427653,0.042993847711804783,-0.7837821776875299,-0.3880586810156218
Dakar,-0.42374275394048605,2.4754200488392297,South,Yes,-1.3306171543513592,-1.5489109843490343,-1.0629773133387466,-0.42414051391514646
Wellington,-0.6999231966680833,-0.9535930394642391,North,Yes,0.7472847565480911,1.176501123111583,-0.5045870420363134,-0.3863404984965968
Tallinn,-0.6416687885255361,-0.5020468431381329,North,Yes,-0.6954506313689944,0.4370159605802712,-0.9931785294259423,-0.4224223313961214
Vilnius,-0.5300620973933029,-1.098572583612681,North,Yes,-1.0765505451584132,0.14011197412304657,-0.9233797455131383,-0.4155496013200215
Guatemala City,-0.4384491293990705,0.12746959855904824,South,Yes,-0.305276910108399,-1.722474950263982,-0.7837821776875299,-0.4121132362819715
Yerevan,-0.47346186485098873,-0.024916021374066167,North,Yes,-1.2943219244666526,-0.43843457892677906,-0.9233797455131383,-0.4258586964341714
Astana,-0.4040310779820895,-0.7372458559362239,South,Yes,-1.9204146399778406,-0.7987428279124857,1.2403825557837902,-0.38462231597757174
